Code_INSEE;Nom_commune;Code_postal;coordonnees_gps;Population
43075;COLLAT;43230;45.2439, 3.60182;86
43084;CUSSAC SUR LOIRE;43370;44.9849, 3.87473;1803
43090;ESPLANTAS VAZEILLES;43170;44.9033, 3.5467;136
43094;FERRUSSAC;43300;45.0856, 3.40517;82
43095;FIX ST GENEYS;43320;45.1415, 3.66509;129
43102;GRAZAC;43200;45.192, 4.18411;1070
43107;JOSAT;43230;45.2141, 3.61015;80
43108;JULLIANGES;43500;45.3063, 3.7821;455
43110;LAMOTHE;43100;45.3149, 3.42693;894
43111;LANDOS;43340;44.8498, 3.84501;926
43112;LANGEAC;43300;45.0823, 3.47806;3841
43113;LANTRIAC;43260;44.9894, 4.00364;1976
43114;LAPTE;43200;45.1798, 4.23494;1747
43124;LOUDES;43320;45.0981, 3.74471;926
43128;MALVIERES;43160;45.3427, 3.7258;138
43130;MAZET ST VOY;43520;45.0438, 4.24004;1148
43132;MAZEYRAT D ALLIER;43300;45.1283, 3.52793;1554
43136;MONISTROL D ALLIER;43580;44.9763, 3.63606;204
43139;MONTCLARD;43230;45.2637, 3.58054;57
43141;MONTFAUCON EN VELAY;43290;45.1845, 4.32319;1323
43144;MOUDEYRES;43150;44.949, 4.10322;112
43152;POLIGNAC;43000;45.08, 3.86086;2922
43153;PONT SALOMON;43330;45.3353, 4.24335;2091
43154;PRADELLES;43420;44.765, 3.87177;585
43159;RAUCOULES;43290;45.1915, 4.28286;939
43169;ST AUSTREMOINE;43380;45.1191, 3.35731;44
43172;ST BONNET LE FROID;43290;45.1438, 4.43284;264
43188;ST GEORGES D AURAC;43230;45.1592, 3.55161;476
43189;ST GEORGES LAGRICOL;43500;45.3037, 3.88837;539
43193;ST HILAIRE;43390;45.3812, 3.43912;166
43198;ST JEAN LACHALM;43510;44.9424, 3.7237;294
43206;ST JUST PRES BRIOUDE;43100;45.2327, 3.33125;440
43218;ST PIERRE EYNAC;43260;45.0467, 4.02721;1138
43219;ST PREJET ARMANDON;43230;45.2494, 3.55233;105
43223;ST ROMAIN LACHALM;43620;45.265, 4.33989;1105
43229;ST VIDAL;43320;45.0749, 3.79903;594
43236;LA SEAUVE SUR SEMENE;43140;45.2951, 4.24949;1487
52353;NOGENT;52800;48.0375, 5.36503;3925
52355;NOIDANT LE ROCHEUX;52200;47.8227, 5.25671;166
52365;ORGES;52120;48.0783, 4.9348;372
52370;OSNE LE VAL;52300;48.4981, 5.20118;266
52372;OUTREMECOURT;52150;48.216, 5.69128;102
52377;PARNOY EN BASSIGNY;52400;48.0253, 5.66051;306
52378;PAROY SUR SAULX;52300;48.5149, 5.24766;47
52388;PIERREMONT SUR AMANCE;52500;47.8041, 5.66062;147
52390;PISSELOUP;52500;47.8329, 5.73978;49
52400;LE CHATELET SUR MEUSE;52400;47.9735, 5.63993;159
52405;LE MONTSAUGEONNAIS;52190;47.6875, 5.29202;1289
52407;PREZ SOUS LAFAUCHE;52700;48.2761, 5.50329;318
52413;RACHECOURT SUZEMONT;52130;48.4554, 4.97053;111
52419;RENNEPONT;52370;48.1642, 4.85864;149
52421;RIAUCOURT;52000;48.1734, 5.16934;469
52426;RIZAUCOURT BUCHEY;52330;48.2744, 4.86925;123
52429;ROCHES SUR MARNE;52410;48.6001, 5.01242;562
52436;ROUECOURT;52320;48.3286, 5.0759;51
52467;SAVIGNY;52500;47.7178, 5.64399;63
52475;SOMMANCOURT;52130;48.5044, 5.03761;67
52490;THONNANCE LES JOINVILLE;52300;48.4622, 5.18738;798
52497;TROISFONTAINES LA VILLE;52130;48.5429, 5.00777;449
52497;TROISFONTAINES LA VILLE;52130;48.5429, 5.00777;449
52507;VAUXBONS;52200;47.8825, 5.1395;63
52513;VELLES;52500;47.8338, 5.72379;74
